Branch,Cutoff,Category,College,College Code,Location
EC,18357,1G,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EE,26458,1G,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EI,48785,1G,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ET,46780,1G,Dr. Ambedkar Institute Of Technology,E004,Bangalore
IM,53209,1G,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ME,94716,1G,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CE,68048,2AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CS,8134,2AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EC,18809,2AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EE,31023,2AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EI,58481,2AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ET,45178,2AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
IM,55510,2AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ME,84124,2AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CE,71977,2BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CS,10769,2BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EC,28202,2BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EE,28920,2BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EI,70853,2BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ET,82084,2BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
IM,45619,2BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ME,90192,2BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CE,51024,3AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CS,6110,3AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EC,14750,3AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EE,24509,3AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EI,50779,3AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ET,31451,3AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
IM,48044,3AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
ME,69822,3AG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CE,51491,3BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
CS,6661,3BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
EC,15230,3BG,Dr. Ambedkar Institute Of Technology,E004,Bangalore
